"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Mouse.ID","LK16Sid","ExName","Ex","LavageDate","MP","SampleOrigin","Cage","ExCage","ExCageTp","Timepoint","TimeP","Timepoint.wks","AntibioticTx","Infected","Tp.Cage","Tp.ABX","Tp.Infect","ABX.Infect","Tp.ABX.Infect","NaturalMicro","InfectionStage","InfectStage2","InfectStageDepo","InfectStagePreUM","InfectStageDEM","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","DiseaseCINEndpointRanked","Cleared.Persistent","Kingdom","Phylum","Class","Order","Family","Genus"
"11359","a8b6786cd18ffb7901b88116577271aa","LK16S004-187",0.00380165289256198,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_187_S191_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_187_S191_R2_001.fastq.gz","09-29-M7-2","LK16S004_187","Baseline","E3","9/29/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp6","Timepoint 6","6","8","None","Infected","Tp6_Cage7","Tp6_None","Tp6_Infected","None_Infected","Tp6_None_Infected","No","6 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",NA,"","CIN2 (considered 3)","High","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus"
"229","00fe6dc977b86e280d15cf0d79f7634a","LK16S004-242",0.00379939209726444,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_242_S246_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_242_S246_R2_001.fastq.gz","10-27-M6-1","LK16S004_242","Baseline","E3","10/27/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp8","Timepoint 8","8","12","None","Untouched","Tp8_Cage6","Tp8_None","Tp8_Untouched","None_Untouched","Tp8_None_Untouched","No","10 wks post-MmuPV1 infection","Infected","Infected","Untouched","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Mucispirillum"
"7262","63ee4320a568cbe73cef58ad2313fc31","LK16S004-201",0.0037746806039489,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_201_S205_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_201_S205_R2_001.fastq.gz","09-29-M11-3","LK16S004_201","Baseline","E3","9/29/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp6","Timepoint 6","6","8","None","Infected","Tp6_Cage11","Tp6_None","Tp6_Infected","None_Infected","Tp6_None_Infected","No","6 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",NA,"","CIN2","Low","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Rhodococcus"
"10018","9810164d15d577833902934f6b963568","LK16S004-093",0.00374064837905237,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_093_S93_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_093_S93_R2_001.fastq.gz","08-19-M08-3","LK16S004_093","Baseline","E3","8/19/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Mock","Tp3_Cage8","Tp3_None","Tp3_Mock","None_Mock","Tp3_None_Mock","Post-Depo","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","","","","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"13362","dee47612fb4f8a3991fbd89dfd2f10da","LK16S004-258",0.0037147102526003,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_258_S262_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_258_S262_R2_001.fastq.gz","10-27-M11-1","LK16S004_258","Baseline","E3","10/27/20","M11-1","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp8","Timepoint 8","8","12","None","Infected","Tp8_Cage11","Tp8_None","Tp8_Infected","None_Infected","Tp8_None_Infected","No","10 wks post-MmuPV1 infection","Infected","Infected","Infected","Mid Infection (8-10-12wpi)",NA,"","CIN3","High ","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"5160","5142cb14c69eee1b9e87a6cbbecf107d","LK16S004-019",0.0037131585054537,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_019_S19_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_019_S19_R2_001.fastq.gz","07-28-M8-1","LK16S004_019","Baseline","E3","7/28/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp1","Timepoint 1","1","0","None","Mock","Tp1_Cage8","Tp1_None","Tp1_Mock","None_Mock","Tp1_None_Mock","Natural","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"208","00fe6dc977b86e280d15cf0d79f7634a","LK16S004-277",0.00371254309201803,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_277_S282_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_277_S282_R2_001.fastq.gz","11-10-M6-4","LK16S004_277","Baseline","E3","11/10/20","M6-4","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp9","Timepoint 9","9","14","None","Untouched","Tp9_Cage6","Tp9_None","Tp9_Untouched","None_Untouched","Tp9_None_Untouched","No","12 wks post-MmuPV1 infection","Infected","Infected","Untouched","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Mucispirillum"
"7415","6c86f7748b5b1c8f46558c78ee7c1b55","LK16S004-184",0.00371245359433007,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_184_S188_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_184_S188_R2_001.fastq.gz","09-29-M6-3","LK16S004_184","Baseline","E3","9/29/20","M6-3","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp6","Timepoint 6","6","8","None","Untouched","Tp6_Cage6","Tp6_None","Tp6_Untouched","None_Untouched","Tp6_None_Untouched","No","6 wks post-MmuPV1 infection","Infected","Infected","Untouched","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Sediminibacterium"
"9392","9063efdb6475d6d443a8d6a47df8f687","LK16S004-284",0.00370828182941904,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_284_S290_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_284_S290_R2_001.fastq.gz","11-10-M8-4","LK16S004_284","Baseline","E3","11/10/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp9","Timepoint 9","9","14","None","Mock","Tp9_Cage8","Tp9_None","Tp9_Mock","None_Mock","Tp9_None_Mock","No","12 wks post-MmuPV1 infection","Infected","Infected","Mock","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella"
"7918","7cabe4f5d00b8a45406610950408ef54","LK16S004-189",0.00368514150943396,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R2_001.fastq.gz","09-29-M8-1","LK16S004_189","Baseline","E3","9/29/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp6","Timepoint 6","6","8","None","Mock","Tp6_Cage8","Tp6_None","Tp6_Mock","None_Mock","Tp6_None_Mock","No","6 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas"
"10858","a44561cb545b97a4ef5e7bf7fb75bbb8","LK16S004-189",0.00368514150943396,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R2_001.fastq.gz","09-29-M8-1","LK16S004_189","Baseline","E3","9/29/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp6","Timepoint 6","6","8","None","Mock","Tp6_Cage8","Tp6_None","Tp6_Mock","None_Mock","Tp6_None_Mock","No","6 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Gemmiger"
"11815","c289964c026e9e3ffd4d61fccdf8b378","LK16S004-189",0.00368514150943396,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R2_001.fastq.gz","09-29-M8-1","LK16S004_189","Baseline","E3","9/29/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp6","Timepoint 6","6","8","None","Mock","Tp6_Cage8","Tp6_None","Tp6_Mock","None_Mock","Tp6_None_Mock","No","6 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]"
"4705","45a1033bc181a3d144aab8d4fa827c80","LK16S004-126",0.00366636113657195,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_126_S130_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_126_S130_R2_001.fastq.gz","09-01-M8-4","LK16S004_126","Baseline","E3","9/1/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp4","Timepoint 4","4","4","None","Mock","Tp4_Cage8","Tp4_None","Tp4_Mock","None_Mock","Tp4_None_Mock","No","2 wks post-MmuPV1 infection","Infected","Infected","Mock","Infection Establishment (2wpi)",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium"
"6570","5eb8ab7d65c8b208ca4d69860a2d63b1","LK16S004-283",0.00366162801614872,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_283_S289_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_283_S289_R2_001.fastq.gz","11-10-M8-3","LK16S004_283","Baseline","E3","11/10/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp9","Timepoint 9","9","14","None","Mock","Tp9_Cage8","Tp9_None","Tp9_Mock","None_Mock","Tp9_None_Mock","No","12 wks post-MmuPV1 infection","Infected","Infected","Mock","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia"
"10691","a1c8f541d5a82ded14682275dd1d10ee","LK16S004-252",0.00365135453474676,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_252_S256_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_252_S256_R2_001.fastq.gz","10-27-M8-5","LK16S004_252","Baseline","E3","10/27/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp8","Timepoint 8","8","12","None","Mock","Tp8_Cage8","Tp8_None","Tp8_Mock","None_Mock","Tp8_None_Mock","No","10 wks post-MmuPV1 infection","Infected","Infected","Mock","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Kocuria"
"8512","8632dac767a978f390c0739543c2a1a6","LK16S004-152",0.00364797081623347,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_152_S156_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_152_S156_R2_001.fastq.gz","09-16-M6-2","LK16S004_152","Baseline","E3","9/16/20","M6-2","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp5","Timepoint 5","5","6","None","Untouched","Tp5_Cage6","Tp5_None","Tp5_Untouched","None_Untouched","Tp5_None_Untouched","No","4 wks post-MmuPV1 infection","Infected","Infected","Untouched","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"2111","1a98ff4f7e42b825bd257e038465432f","LK16S004-187",0.00363636363636364,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_187_S191_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_187_S191_R2_001.fastq.gz","09-29-M7-2","LK16S004_187","Baseline","E3","9/29/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp6","Timepoint 6","6","8","None","Infected","Tp6_Cage7","Tp6_None","Tp6_Infected","None_Infected","Tp6_None_Infected","No","6 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",NA,"","CIN2 (considered 3)","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"1846","183c7b9e699812316d42317d4bb34dcd","LK16S004-222",0.00363416111447608,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_222_S226_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_222_S226_R2_001.fastq.gz","10-13-M8-3","LK16S004_222","Baseline","E3","10/13/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp7","Timepoint 7","7","10","None","Mock","Tp7_Cage8","Tp7_None","Tp7_Mock","None_Mock","Tp7_None_Mock","No","8 wks post-MmuPV1 infection","Infected","Infected","Mock","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Odoribacter"
"15182","f9e1a1c2197e923ec95eb84b6ae6376b","LK16S004-022",0.00361881785283474,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_022_S22_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_022_S22_R2_001.fastq.gz","07-28-M8-4","LK16S004_022","Baseline","E3","7/28/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp1","Timepoint 1","1","0","None","Mock","Tp1_Cage8","Tp1_None","Tp1_Mock","None_Mock","Tp1_None_Mock","Natural","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"15585","ff5230bec494aa59294d8502293a6519","LK16S004-162",0.00360951599671862,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_162_S166_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_162_S166_R2_001.fastq.gz","09-16-M8-5","LK16S004_162","Baseline","E3","9/16/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp5","Timepoint 5","5","6","None","Mock","Tp5_Cage8","Tp5_None","Tp5_Mock","None_Mock","Tp5_None_Mock","No","4 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"1794","183c7b9e699812316d42317d4bb34dcd","LK16S004-151",0.00352526439482961,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_151_S155_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_151_S155_R2_001.fastq.gz","09-16-M6-1","LK16S004_151","Baseline","E3","9/16/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp5","Timepoint 5","5","6","None","Untouched","Tp5_Cage6","Tp5_None","Tp5_Untouched","None_Untouched","Tp5_None_Untouched","No","4 wks post-MmuPV1 infection","Infected","Infected","Untouched","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Odoribacter"
"127","00ee634ba50681f351bdeb78fa3dca36","LK16S004-201",0.00348432055749129,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_201_S205_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_201_S205_R2_001.fastq.gz","09-29-M11-3","LK16S004_201","Baseline","E3","9/29/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp6","Timepoint 6","6","8","None","Infected","Tp6_Cage11","Tp6_None","Tp6_Infected","None_Infected","Tp6_None_Infected","No","6 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",NA,"","CIN2","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter"
"13094","dd99ad74a4e8d51cf811564c0e074694","LK16S004-213",0.00347394540942928,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_213_S217_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_213_S217_R2_001.fastq.gz","10-13-M6-1","LK16S004_213","Baseline","E3","10/13/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp7","Timepoint 7","7","10","None","Untouched","Tp7_Cage6","Tp7_None","Tp7_Untouched","None_Untouched","Tp7_None_Untouched","No","8 wks post-MmuPV1 infection","Infected","Infected","Untouched","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus"
"10921","a562be7bb599d54fe6eb783bad4b090b","LK16S004-245",0.00345622119815668,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_245_S249_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_245_S249_R2_001.fastq.gz","10-27-M7-1","LK16S004_245","Baseline","E3","10/27/20","M7-1","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp8","Timepoint 8","8","12","None","Infected","Tp8_Cage7","Tp8_None","Tp8_Infected","None_Infected","Tp8_None_Infected","No","10 wks post-MmuPV1 infection","Infected","Infected","Infected","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophaga"
"5367","514a20cfbe4d953b6de393ad2242906f","LK16S004-162",0.00344544708777687,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_162_S166_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_162_S166_R2_001.fastq.gz","09-16-M8-5","LK16S004_162","Baseline","E3","9/16/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp5","Timepoint 5","5","6","None","Mock","Tp5_Cage8","Tp5_None","Tp5_Mock","None_Mock","Tp5_None_Mock","No","4 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"12879","dbc34e409e414003278aa4fbf1de31d9","LK16S004-162",0.00344544708777687,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_162_S166_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_162_S166_R2_001.fastq.gz","09-16-M8-5","LK16S004_162","Baseline","E3","9/16/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp5","Timepoint 5","5","6","None","Mock","Tp5_Cage8","Tp5_None","Tp5_Mock","None_Mock","Tp5_None_Mock","No","4 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella"
"4405","429528823edb55fa5e24e1f20b322a57","LK16S004-092",0.00341357189100112,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_092_S92_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_092_S92_R2_001.fastq.gz","08-19-M08-2","LK16S004_092","Baseline","E3","8/19/20","M8-2","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Mock","Tp3_Cage8","Tp3_None","Tp3_Mock","None_Mock","Tp3_None_Mock","Post-Depo","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"7030","5f9c632fdbb71b06c495aed0fa3795ea","LK16S004-189",0.00339033018867925,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R2_001.fastq.gz","09-29-M8-1","LK16S004_189","Baseline","E3","9/29/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp6","Timepoint 6","6","8","None","Mock","Tp6_Cage8","Tp6_None","Tp6_Mock","None_Mock","Tp6_None_Mock","No","6 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"10606","9d10499c6ead5db5876bf550494a40cd","LK16S004-189",0.00339033018867925,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R2_001.fastq.gz","09-29-M8-1","LK16S004_189","Baseline","E3","9/29/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp6","Timepoint 6","6","8","None","Mock","Tp6_Cage8","Tp6_None","Tp6_Mock","None_Mock","Tp6_None_Mock","No","6 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella"
"12526","d784ebd8c4ba9754c32eaf950f864c09","LK16S004-189",0.00339033018867925,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R2_001.fastq.gz","09-29-M8-1","LK16S004_189","Baseline","E3","9/29/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp6","Timepoint 6","6","8","None","Mock","Tp6_Cage8","Tp6_None","Tp6_Mock","None_Mock","Tp6_None_Mock","No","6 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium"
"9810","96135aa4f11d4243d4da3102a15232fb","LK16S004-157",0.00337268128161889,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_157_S161_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_157_S161_R2_001.fastq.gz","09-16-M7-3","LK16S004_157","Baseline","E3","9/16/20","M7-3","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp5","Timepoint 5","5","6","None","Infected","Tp5_Cage7","Tp5_None","Tp5_Infected","None_Infected","Tp5_None_Infected","No","4 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",10100,"Low","CIN2","Low","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Saccharopolyspora"
"14089","e8820a8b0ccb14b286019c21e8bfcf00","LK16S004-118",0.00331475064034956,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_118_S122_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_118_S122_R2_001.fastq.gz","09-01-M6-3","LK16S004_118","Baseline","E3","9/1/20","M6-3","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp4","Timepoint 4","4","4","None","Untouched","Tp4_Cage6","Tp4_None","Tp4_Untouched","None_Untouched","Tp4_None_Untouched","No","2 wks post-MmuPV1 infection","Infected","Infected","Untouched","Infection Establishment (2wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"4077","3c0b37e5afb38b673e9fe2c75cbada4c","LK16S004-187",0.00330578512396694,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_187_S191_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_187_S191_R2_001.fastq.gz","09-29-M7-2","LK16S004_187","Baseline","E3","9/29/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp6","Timepoint 6","6","8","None","Infected","Tp6_Cage7","Tp6_None","Tp6_Infected","None_Infected","Tp6_None_Infected","No","6 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",NA,"","CIN2 (considered 3)","High","Persistent","Bacteria","[Thermi]","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"5525","51ad0deb6331cb77f17cde5970059539","LK16S004-117",0.00329774747079537,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_117_S121_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_117_S121_R2_001.fastq.gz","09-01-M6-2","LK16S004_117","Baseline","E3","9/1/20","M6-2","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp4","Timepoint 4","4","4","None","Untouched","Tp4_Cage6","Tp4_None","Tp4_Untouched","None_Untouched","Tp4_None_Untouched","No","2 wks post-MmuPV1 infection","Infected","Infected","Untouched","Infection Establishment (2wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
